age,change_type,client_tenure_days,date,driver_type,drivers_cancelled,drivers_created,family_type,new_driver_no,new_expiry_date,new_license_no,new_premium,new_vehicle_no,new_vehicle_type,new_vin,old_expiry_date,old_vehicle_no,old_vehicle_type,old_vin,policy_no,premium,removed_driver_no,removed_license_no,removed_vehicle_no,removed_vehicle_type,removed_vin,vehicles_cancelled,vehicles_created
,vehicle_replacement,,2018-01-01,,,,,,,,,04,Sports Car,G5ZP2Z1S78BZGBYYG,,02,Coupe,W4BKU67H7TDU9AT4Z,00000475,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,03,Wagon,GMVUHHD84H8MVM8ZR,,02,Sedan,FW3UFY733VBYX71WS,00001067,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,03,Wagon,98CUAZDS4ES7HBRCA,,01,Truck,CC0NF1SX1809Z71MX,00000074,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Hatchback,WDP7KAJF8CSVD1JGH,,01,Hatchback,W0MKJ87T3PS1Z04DH,00000824,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,04,Truck,WA94577L2Y7LBNPYU,,03,Crossover,XCG8HNUA0J379698U,00000530,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Convertible,U81ZXJ1N22E4BD569,,01,Truck,GT8RMFT97W01PPJHM,00000922,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Minivan,9L504LRM50SEST19J,,01,Hatchback,TPVAT8AC3621VKAVT,00000368,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Sports Car,A55E6ZFY4YHCS4586,,01,Truck,65ZDLGJ00GWUHUSWE,00000415,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,04,Convertible,3GCL308E7RFLKPPMD,,02,Truck,NREM7TUE9AV8MWH8G,00000483,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Sports Car,G67YKGWH596PPAJJ6,,01,SUV,8VDJB8490MSWV2U6Y,00001087,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,04,Minivan,XJR8X0GJ9CHHYCTD9,,02,Minivan,78GV87UW77T8X2LEV,00000091,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,05,Crossover,ZFUNKY0B8N4AKE29C,,03,Hatchback,L3DAZ9V91U87FYFYC,00000859,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Crossover,HR8T1UPF4UFZH75N6,,01,Truck,0SHFF2JT22PWHXG66,00000673,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,04,Minivan,0VRSR0324AEEGM055,,03,Coupe,ZXL30B2A8F2DLYHMJ,00000579,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Wagon,66BWCK7X7GXBDEEZ6,,01,Coupe,NFZWFXHH05A2JY0AW,00001113,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Convertible,ZC5M2PCE4A4FKLAMD,,01,Sports Car,34P5TYKN0NCE313WR,00000422,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,03,Coupe,HZ6AUGKF59SEHC8ZS,,01,Minivan,MBS1D0AS5MZ5WJR6R,00000318,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Coupe,J1UFG4MZ7EBJXYM78,,01,Coupe,06V57F425YFAVN8F0,00001149,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,03,Minivan,GKNZV1XP1Z40VAU9U,,02,Sedan,4V8WEM0B0EPMTR6J2,00000998,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Truck,HBC0TEL171B73ZW32,,01,Coupe,E294HRWN51X7TXAVX,00000217,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,02,Hatchback,CR0MZU1V42M5XRCSE,,01,Sports Car,L22H599A0VN1WDWTF,00001010,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,03,Minivan,UY5N01HF2LJRRZPPL,,01,Minivan,FHKF91730W9FR88L7,00000654,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,04,Truck,ES2XN3PB7CDT7FZEE,,02,Crossover,8LASZR9T43VY0B5F4,00000056,,,,,,,,
,vehicle_replacement,,2018-01-01,,,,,,,,,04,Coupe,J5BGXJXD9N8X8S18L,,02,Minivan,TR73DGCY9AKV062ZB,00000821,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,02,Sedan,KZXTJG1X1M8T6HXPS,,,,,00000617,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,03,Minivan,V3GSRR0U56W7V7GDE,,,,,00000012,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,02,Sedan,DAGJSC576WJUU7S0U,,,,,00000984,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,02,Hatchback,5XUZZMJK9FBA0A6TG,,,,,00000759,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,04,SUV,95MVHUJX0ZR7YL47S,,,,,00000094,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,02,Convertible,J7R4AHVH6SWM2FVY9,,,,,00000452,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,02,Crossover,AUPAX3575BR35GAU1,,,,,00000862,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,02,Crossover,SDYZZ9JX82DXRNE41,,,,,00000241,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,04,Truck,D26PK3S5336TTVH84,,,,,00000993,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,02,Crossover,DW06EN1E6DSUE1A9Z,,,,,00000072,,,,,,,,
,vehicle_addition,,2018-01-01,,,,,,,,,03,SUV,KHU9ULJV50EAVJZLY,,,,,00000930,,,,,,,,
,vehicle_removal,,2018-01-01,,,,,,,,,,,,,,,,00000683,,,,02,Sedan,JSBUEM409562KNKP8,,
,vehicle_removal,,2018-01-01,,,,,,,,,,,,,,,,00000237,,,,04,Minivan,5PMCC1TE5CS32WZAV,,
,vehicle_removal,,2018-01-01,,,,,,,,,,,,,,,,00000575,,,,01,Sports Car,PGFC9JRB55AUUCXW8,,
18,driver_addition,,2018-01-01,secondary,,,,03,,LMDQ253FD,,,,,,,,,00000292,,,,,,,,
17,driver_addition,,2018-01-01,secondary,,,,03,,RRTM283WA,,,,,,,,,00000027,,,,,,,,
18,driver_addition,,2018-01-01,secondary,,,,03,,PSWA568AV,,,,,,,,,00000284,,,,,,,,
20,driver_addition,,2018-01-01,secondary,,,,04,,ICJZ333TL,,,,,,,,,00001057,,,,,,,,
33,driver_addition,,2018-01-01,spouse,,,,02,,ZRHK924OF,,,,,,,,,00000746,,,,,,,,
21,driver_addition,,2018-01-01,secondary,,,,03,,AJNV734AH,,,,,,,,,00001062,,,,,,,,
22,driver_addition,,2018-01-01,secondary,,,,04,,ZCPJ288HR,,,,,,,,,00000651,,,,,,,,
51,driver_addition,,2018-01-01,spouse,,,,02,,IAIT616NX,,,,,,,,,00000564,,,,,,,,
38,driver_addition,,2018-01-01,spouse,,,,02,,WWXE884EB,,,,,,,,,00001159,,,,,,,,
34,driver_addition,,2018-01-01,spouse,,,,02,,UYUX493NA,,,,,,,,,00000849,,,,,,,,
20,driver_addition,,2018-01-01,secondary,,,,03,,VJHN258RS,,,,,,,,,00000043,,,,,,,,
59,driver_addition,,2018-01-01,spouse,,,,02,,YZZI678FU,,,,,,,,,00000150,,,,,,,,
17,driver_addition,,2018-01-01,secondary,,,,03,,XYIT329KA,,,,,,,,,00000770,,,,,,,,
34,driver_addition,,2018-01-01,spouse,,,,02,,EHEW917RQ,,,,,,,,,00000776,,,,,,,,
20,driver_removal,,2018-01-01,secondary,,,,,,,,,,,,,,,00000635,,03,AFHF363LC,,,,,
17,driver_removal,,2018-01-01,secondary,,,,,,,,,,,,,,,00000027,,03,RRTM283WA,,,,,
27,driver_removal,,2018-01-01,spouse,,,,,,,,,,,,,,,00000742,,02,RAXW967FU,,,,,
20,driver_removal,,2018-01-01,secondary,,,,,,,,,,,,,,,00000437,,03,HUXR411EE,,,,,
25,driver_removal,,2018-01-01,secondary,,,,,,,,,,,,,,,00000936,,03,VVNW673FQ,,,,,
55,driver_removal,,2018-01-01,spouse,,,,,,,,,,,,,,,00000946,,02,KUMQ578JI,,,,,
39,driver_removal,,2018-01-01,spouse,,,,,,,,,,,,,,,00000384,,02,ZXCE595CF,,,,,
47,driver_removal,,2018-01-01,spouse,,,,,,,,,,,,,,,00000305,,02,CQZI529BK,,,,,
,policy_cancellation,,2018-01-01,,1,,,,,,,,,,,,,,00001094,,,,,,,1,
,policy_cancellation,,2018-01-01,,4,,,,,,,,,,,,,,00001195,,,,,,,2,
,new_policy,,2018-01-01,,,1,single_person_single_vehicle,,,,,,,,,,,,00001201,1782.5,,,,,,,1
,new_policy,,2018-01-01,,,2,family_multi_vehicle,,,,,,,,,,,,00001202,1252.6,,,,,,,2
,new_policy,,2018-01-01,,,3,family_multi_vehicle,,,,,,,,,,,,00001203,1365.46,,,,,,,2
,new_policy,,2018-01-01,,,4,family_multi_vehicle,,,,,,,,,,,,00001204,1297.43,,,,,,,2
,new_policy,,2018-01-01,,,2,family_single_vehicle,,,,,,,,,,,,00001205,1616.9,,,,,,,1
,new_policy,,2018-01-01,,,2,family_single_vehicle,,,,,,,,,,,,00001206,1233.06,,,,,,,1
,new_policy,,2018-01-01,,,2,family_single_vehicle,,,,,,,,,,,,00001207,1336.59,,,,,,,1
,new_policy,,2018-01-01,,,2,family_multi_vehicle,,,,,,,,,,,,00001208,1431.23,,,,,,,2
,new_policy,,2018-01-01,,,2,family_multi_vehicle,,,,,,,,,,,,00001209,1100.24,,,,,,,3
,new_policy,,2018-01-01,,,2,family_single_vehicle,,,,,,,,,,,,00001210,1696.92,,,,,,,1
,new_policy,,2018-01-01,,,2,family_multi_vehicle,,,,,,,,,,,,00001211,1198.95,,,,,,,3
,new_policy,,2018-01-01,,,1,single_person_single_vehicle,,,,,,,,,,,,00001212,1527.08,,,,,,,1
,new_policy,,2018-01-01,,,2,family_multi_vehicle,,,,,,,,,,,,00001213,1071.89,,,,,,,4
,new_policy,,2018-01-01,,,1,family_single_vehicle,,,,,,,,,,,,00001214,1186.39,,,,,,,1
,new_policy,,2018-01-01,,,3,family_multi_vehicle,,,,,,,,,,,,00001215,1329.55,,,,,,,3
,new_policy,,2018-01-01,,,4,family_multi_vehicle,,,,,,,,,,,,00001216,1215.47,,,,,,,2
,new_policy,,2018-01-01,,,2,family_single_vehicle,,,,,,,,,,,,00001217,1414.37,,,,,,,1
,vehicle_replacement,,2018-02-01,,,,,,,,,03,Sedan,5PYKPY513RKZRUBBF,,01,Sedan,L2YYBM5N5T39850Y5,00000335,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,Minivan,NWP2YLZN10ZZ7J1MY,,01,Crossover,49NG1PKP0KAV4TGKR,00000131,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,03,Coupe,VFS1YB0M9REPDVAF9,,02,Truck,G1J0D9344UJBBUAY8,00000453,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,04,Sedan,AR53LZK54WAFHS5X2,,02,Coupe,V5F896FW8WFGBNYLD,00000539,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,Hatchback,ZJU1CGPK2S75DG94K,,01,Hatchback,X6MG3ERD42Y833R40,00000953,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,Sedan,Y6Y1U1WP4T6ZE62FS,,01,Sedan,SHJ5N0N218P00WKDT,00000213,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,04,Minivan,16R2167L7E5CK3763,,02,Sedan,V4AKMR7K3LM62A1TW,00000369,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,Sports Car,WH4L573H489N66NEZ,,01,Wagon,N2RPWHZS2HTRGA2CD,00000576,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,05,Wagon,UXPR8DTE0K823BPH2,,04,Sedan,PJ3NYDT34BSAURD8V,00000836,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,03,Coupe,R1DV6YCJ8R523VLB6,,01,Hatchback,ZS8PSDBN2FWF7EM2V,00000542,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,05,Minivan,E472SCR22WR3X8GC6,,01,Wagon,HW6KZWV52W5LF963E,00000551,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,04,Minivan,8MRE19JB4W9DSVJ44,,01,Sedan,MLMM6LVX4BP95NRHR,00000215,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,SUV,EWUYSVN10DK49CDUF,,01,Crossover,J5D8WXDV1KA0W2GKW,00000623,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,03,SUV,G4LJ5GKR12RN52FL1,,01,Coupe,E3PVYBBF3S0MDSJH0,00000073,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,Crossover,F53UR2SU0S5A400U3,,01,Sedan,AXFLW4XR13U4HSRHF,00001156,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,Convertible,2V6NB6S9357C6X3ZK,,01,Coupe,2FTS4ZHX223A90024,00001130,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,Minivan,Y5UMPNCG7EBT8MV1B,,01,Sedan,LFY15LEU21SMHSUXL,00000061,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,03,Sedan,8ASV8G7J2WJ5UCT97,,02,Wagon,SL57P5MG7N5VDRF7N,00000184,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,03,Wagon,7T19M9P09306E1YA9,,02,Minivan,BSWN216T3AV9W99XM,00000514,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,Minivan,RUDUSHG78MW9NBN2Z,,01,Truck,PF0000C05HKJ2DDUK,00000438,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,05,Minivan,F6D0KVXA9L4LUFDNZ,,01,Truck,871DN7DP2GXUH9LP8,00000827,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,05,Crossover,W9GYCPS60AK3TBJPJ,,01,Crossover,SVUMWYZJ63MZT68B7,00000530,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,Hatchback,BN3GREYJ5ARHN4UNY,,01,Minivan,G0KNDD416NPPFWE2B,00000436,,,,,,,,
,vehicle_replacement,,2018-02-01,,,,,,,,,02,Hatchback,XG340TWD17WT39C3Z,,01,Coupe,563WR3ZA32HBMAKRB,00001128,,,,,,,,
,vehicle_addition,,2018-02-01,,,,,,,,,02,SUV,XC8AT4KH8262573GL,,,,,00000280,,,,,,,,
,vehicle_addition,,2018-02-01,,,,,,,,,03,SUV,PNCJ6BM5793GT3Y5G,,,,,00000146,,,,,,,,
,vehicle_addition,,2018-02-01,,,,,,,,,02,SUV,GHBY2MZM4YSS04BRG,,,,,00001070,,,,,,,,
,vehicle_addition,,2018-02-01,,,,,,,,,03,Sports Car,HAYFZYF63WF9GXMBL,,,,,00000358,,,,,,,,
,vehicle_addition,,2018-02-01,,,,,,,,,02,SUV,ZLTJNHA02TPCJ6SPD,,,,,00000062,,,,,,,,
,vehicle_addition,,2018-02-01,,,,,,,,,03,Wagon,VF1MWM3L8L9RNG4NZ,,,,,00000327,,,,,,,,
,vehicle_addition,,2018-02-01,,,,,,,,,02,Crossover,28S497EZ91836PVYX,,,,,00000615,,,,,,,,
,vehicle_addition,,2018-02-01,,,,,,,,,02,Crossover,5J2JFAFX8GEXN7P24,,,,,00001215,,,,,,,,
,vehicle_addition,,2018-02-01,,,,,,,,,03,Truck,VUNP89TF3CRYJB2Y8,,,,,00000461,,,,,,,,
,vehicle_addition,,2018-02-01,,,,,,,,,04,Crossover,E8L60SVX0JSJAD40S,,,,,00000842,,,,,,,,
,vehicle_removal,,2018-02-01,,,,,,,,,,,,,,,,00000252,,,,01,Minivan,SE89M9RY43M5JWYV1,,
,vehicle_removal,,2018-02-01,,,,,,,,,,,,,,,,00000489,,,,02,Sports Car,LAGUHKSA01C7MUEZ0,,
21,driver_addition,,2018-02-01,secondary,,,,03,,JAPT122DE,,,,,,,,,00000738,,,,,,,,
31,driver_addition,,2018-02-01,spouse,,,,02,,PBJM040SN,,,,,,,,,00001072,,,,,,,,
25,driver_addition,,2018-02-01,secondary,,,,03,,FAZP193OX,,,,,,,,,00000174,,,,,,,,
25,driver_addition,,2018-02-01,spouse,,,,02,,AVBA145HJ,,,,,,,,,00000934,,,,,,,,
22,driver_addition,,2018-02-01,secondary,,,,03,,VGVC734JD,,,,,,,,,00000620,,,,,,,,
59,driver_addition,,2018-02-01,spouse,,,,02,,TRHC845GO,,,,,,,,,00000002,,,,,,,,
23,driver_addition,,2018-02-01,secondary,,,,02,,KKEW899VC,,,,,,,,,00001203,,,,,,,,
32,driver_addition,,2018-02-01,spouse,,,,02,,ADHO444IE,,,,,,,,,00001043,,,,,,,,
24,driver_addition,,2018-02-01,secondary,,,,04,,CNSO680PJ,,,,,,,,,00000823,,,,,,,,
